,Mood,Title,Content
79,relax,Travelin' Soldier,https://www.youtube.com/watch?v=H3b1AQFsPcc
80,relax,The Man Who Can't Be Moved,https://www.youtube.com/watch?v=gS9o1FAszdk
81,relax,Jesus to a Child,https://www.youtube.com/watch?v=Tzn4YGEPVV8
82,relax,Your Song,https://www.youtube.com/watch?v=GlPlfCy1urI
83,relax,How to Save a Life,https://www.youtube.com/watch?v=cjVQ36NhbMk
84,relax,Such Great Heights,https://www.youtube.com/watch?v=0wrsZog8qXg
85,relax,I Try,https://www.youtube.com/watch?v=WEQ0l_m3Xm0
86,relax,I Want to Know What Love Is,https://www.youtube.com/watch?v=raNGeq3_DtM
87,relax,High,https://www.youtube.com/watch?v=taOL5HJdx1A
88,relax,Everything,https://www.youtube.com/watch?v=soMQ4wQ8-3s
89,relax,Sakhalin,https://www.youtube.com/watch?v=Mnd0j8QwQI4
90,romantic,9 Crimes,https://www.youtube.com/watch?v=cgqOSCgc8xc
91,romantic,Hallelujah,https://www.youtube.com/watch?v=y8AWFf7EAc4
92,romantic,You're Beautiful,https://www.youtube.com/watch?v=oofSnsGkops
93,romantic,Void war II,https://www.youtube.com/watch?v=W1N20DFejEs
94,romantic,Losing My Religion,https://www.youtube.com/watch?v=xwtdhWltSIg
95,romantic,One,https://www.youtube.com/watch?v=CGrR-7_OBpA
96,romantic,Childbed depression,https://www.youtube.com/watch?v=kyt3RwhjZ0I
97,romantic,Wish You Were Here,https://www.youtube.com/watch?v=IXdNnw99-Ic
98,romantic,Yesterday,https://www.youtube.com/watch?v=NrgmdOz227I
99,romantic,La Corolle,https://www.youtube.com/watch?v=TXhDshQ0IWI
100,romantic,Breathe,https://www.youtube.com/watch?v=yCmsZUN4r_s
101,romantic,You Belong with Me,https://www.youtube.com/watch?v=VuNIsY6JdUw
102,romantic,My Blue Angel,https://www.youtube.com/watch?v=0TZco6I5f_o
103,romantic,This Is the Life,https://www.youtube.com/watch?v=iRYvuS9OxdA
104,romantic,She Believes In Me,https://www.youtube.com/watch?v=8uBmu1vdQEY
105,romantic,I Will Always Love You,https://www.youtube.com/watch?v=aDqqm_gTPjc
106,romantic,There You'll Be,https://www.youtube.com/watch?v=BY6CypdXhEo
107,romantic,Lady,https://www.youtube.com/watch?v=Pq96IgKLf_k
108,romantic,Don't It Make My Brown Eyes Blue,https://www.youtube.com/watch?v=eCgP-6mzz00
109,romantic,Amazed,https://www.youtube.com/watch?v=Cte-gPKaVDA
110,romantic,Fix You,https://www.youtube.com/watch?v=k4V3Mo61fJM
111,romantic,Friday I'm in Love,https://www.youtube.com/watch?v=mGgMZpGYiy8
112,romantic,Here Comes The Rain Again,https://www.youtube.com/watch?v=TzFnYcIqj6I
113,romantic,Every Breath You Take,https://www.youtube.com/watch?v=OMOGaugKpzs
114,romantic,2 Become 1,https://www.youtube.com/watch?v=FA5jsa1lR9c
115,romantic,Your Song,https://www.youtube.com/watch?v=GlPlfCy1urI
116,romantic,Purple Rain,https://www.youtube.com/watch?v=S6Y1gohk5-A
117,romantic,Love Is All Around,https://www.youtube.com/watch?v=h3gEkwhdXUE
118,romantic,Save The Best For Last,https://www.youtube.com/watch?v=5EdmHSTwmWY
119,romantic,Foundations,https://www.youtube.com/watch?v=ryH5cga0yUI
